date,swe,latitude,longitude
1991-01-01,78.74,39.32565,-120.36807
1991-01-02,78.74,39.32565,-120.36807
1991-01-03,78.74,39.32565,-120.36807
1991-01-04,78.74,39.32565,-120.36807
1991-01-05,78.74,39.32565,-120.36807
1991-01-06,78.74,39.32565,-120.36807
1991-01-07,78.74,39.32565,-120.36807
1991-01-08,91.44,39.32565,-120.36807
1991-01-09,93.98,39.32565,-120.36807
1991-01-10,93.98,39.32565,-120.36807
1991-01-11,93.98,39.32565,-120.36807
1991-01-12,93.98,39.32565,-120.36807
1991-01-13,93.98,39.32565,-120.36807
1991-01-14,96.52,39.32565,-120.36807
1991-01-15,96.52,39.32565,-120.36807
1991-01-16,96.52,39.32565,-120.36807
1991-01-17,96.52,39.32565,-120.36807
1991-01-18,96.52,39.32565,-120.36807
1991-01-19,96.52,39.32565,-120.36807
1991-01-20,96.52,39.32565,-120.36807
1991-01-21,93.98,39.32565,-120.36807
1991-01-22,93.98,39.32565,-120.36807
1991-01-23,93.98,39.32565,-120.36807
1991-01-24,93.98,39.32565,-120.36807
1991-01-25,93.98,39.32565,-120.36807
1991-01-26,93.98,39.32565,-120.36807
1991-01-27,93.98,39.32565,-120.36807
1991-01-28,93.98,39.32565,-120.36807
1991-01-29,91.44,39.32565,-120.36807
1991-01-30,91.44,39.32565,-120.36807
1991-01-31,91.44,39.32565,-120.36807
1991-02-01,88.9,39.32565,-120.36807
1991-02-02,88.9,39.32565,-120.36807
1991-02-03,116.84,39.32565,-120.36807
1991-02-04,116.84,39.32565,-120.36807
1991-02-05,127.0,39.32565,-120.36807
1991-02-06,132.08,39.32565,-120.36807
1991-02-07,132.08,39.32565,-120.36807
1991-02-08,132.08,39.32565,-120.36807
1991-02-09,132.08,39.32565,-120.36807
1991-02-10,132.08,39.32565,-120.36807
1991-02-11,132.08,39.32565,-120.36807
1991-02-12,132.08,39.32565,-120.36807
1991-02-13,132.08,39.32565,-120.36807
1991-02-14,132.08,39.32565,-120.36807
1991-02-15,132.08,39.32565,-120.36807
1991-02-16,132.08,39.32565,-120.36807
1991-02-17,132.08,39.32565,-120.36807
1991-02-18,132.08,39.32565,-120.36807
1991-02-19,127.0,39.32565,-120.36807
1991-02-20,127.0,39.32565,-120.36807
1991-02-21,101.6,39.32565,-120.36807
1991-02-22,101.6,39.32565,-120.36807
1991-02-23,86.36,39.32565,-120.36807
1991-02-24,86.36,39.32565,-120.36807
1991-02-25,81.28,39.32565,-120.36807
1991-02-26,71.12,39.32565,-120.36807
1991-02-27,60.96,39.32565,-120.36807
1991-02-28,60.96,39.32565,-120.36807
1991-03-01,60.96,39.32565,-120.36807
1991-03-02,139.7,39.32565,-120.36807
1991-03-03,198.12,39.32565,-120.36807
1991-03-04,254.0,39.32565,-120.36807
1991-03-05,261.62,39.32565,-120.36807
1991-03-06,261.62,39.32565,-120.36807
1991-03-07,261.62,39.32565,-120.36807
1991-03-08,261.62,39.32565,-120.36807
1991-03-09,261.62,39.32565,-120.36807
1991-03-10,261.62,39.32565,-120.36807
1991-03-11,269.24,39.32565,-120.36807
1991-03-12,271.78,39.32565,-120.36807
1991-03-13,320.04,39.32565,-120.36807
1991-03-14,342.9,39.32565,-120.36807
1991-03-15,353.06,39.32565,-120.36807
1991-03-16,358.14,39.32565,-120.36807
1991-03-17,358.14,39.32565,-120.36807
1991-03-18,368.3,39.32565,-120.36807
1991-03-19,375.92,39.32565,-120.36807
1991-03-20,386.08,39.32565,-120.36807
1991-03-21,396.24,39.32565,-120.36807
1991-03-22,396.24,39.32565,-120.36807
1991-03-23,396.24,39.32565,-120.36807
1991-03-24,439.42,39.32565,-120.36807
1991-03-25,487.68,39.32565,-120.36807
1991-03-26,523.24,39.32565,-120.36807
1991-03-27,538.48,39.32565,-120.36807
1991-03-28,538.48,39.32565,-120.36807
1991-03-29,538.48,39.32565,-120.36807
1991-03-30,533.4,39.32565,-120.36807
1991-03-31,520.7,39.32565,-120.36807
1991-04-01,513.08,39.32565,-120.36807
1991-04-02,513.08,39.32565,-120.36807
1991-04-03,505.46,39.32565,-120.36807
1991-04-04,495.3,39.32565,-120.36807
1991-04-05,490.22,39.32565,-120.36807
1991-04-06,482.6,39.32565,-120.36807
1991-04-07,485.14,39.32565,-120.36807
1991-04-08,480.06,39.32565,-120.36807
1991-04-09,467.36,39.32565,-120.36807
1991-04-10,457.2,39.32565,-120.36807
1991-04-11,452.12,39.32565,-120.36807
1991-04-12,439.42,39.32565,-120.36807
1991-04-13,431.8,39.32565,-120.36807
1991-04-14,426.72,39.32565,-120.36807
1991-04-15,419.1,39.32565,-120.36807
1991-04-16,411.48,39.32565,-120.36807
1991-04-17,406.4,39.32565,-120.36807
1991-04-18,401.32,39.32565,-120.36807
1991-04-19,393.7,39.32565,-120.36807
1991-04-20,391.16,39.32565,-120.36807
1991-04-21,391.16,39.32565,-120.36807
1991-04-22,381.0,39.32565,-120.36807
1991-04-23,373.38,39.32565,-120.36807
1991-04-24,353.06,39.32565,-120.36807
1991-04-25,353.06,39.32565,-120.36807
1991-04-26,355.6,39.32565,-120.36807
1991-04-27,358.14,39.32565,-120.36807
1991-04-28,358.14,39.32565,-120.36807
1991-04-29,350.52,39.32565,-120.36807
1991-04-30,332.74,39.32565,-120.36807
1991-05-01,307.34,39.32565,-120.36807
1991-05-02,304.8,39.32565,-120.36807
1991-05-03,304.8,39.32565,-120.36807
1991-05-04,302.26,39.32565,-120.36807
1991-05-05,284.48,39.32565,-120.36807
1991-05-06,256.54,39.32565,-120.36807
1991-05-07,223.52,39.32565,-120.36807
1991-05-08,195.58,39.32565,-120.36807
1991-05-09,182.88,39.32565,-120.36807
1991-05-10,182.88,39.32565,-120.36807
1991-05-11,182.88,39.32565,-120.36807
1991-05-12,185.42,39.32565,-120.36807
1991-05-13,182.88,39.32565,-120.36807
1991-05-14,182.88,39.32565,-120.36807
1991-05-15,177.8,39.32565,-120.36807
1991-05-16,144.78,39.32565,-120.36807
1991-05-17,116.84,39.32565,-120.36807
1991-05-18,127.0,39.32565,-120.36807
1991-05-19,132.08,39.32565,-120.36807
1991-05-20,132.08,39.32565,-120.36807
1991-05-21,132.08,39.32565,-120.36807
1991-05-22,111.76,39.32565,-120.36807
1991-05-23,71.12,39.32565,-120.36807
1991-05-24,22.86,39.32565,-120.36807
1991-05-25,0.0,39.32565,-120.36807
1991-05-26,0.0,39.32565,-120.36807
1991-05-27,0.0,39.32565,-120.36807
1991-05-28,0.0,39.32565,-120.36807
1991-05-29,0.0,39.32565,-120.36807
1991-05-30,0.0,39.32565,-120.36807
1991-05-31,0.0,39.32565,-120.36807
1991-06-01,0.0,39.32565,-120.36807
1991-06-02,0.0,39.32565,-120.36807
1991-06-03,0.0,39.32565,-120.36807
1991-06-04,0.0,39.32565,-120.36807
1991-06-05,0.0,39.32565,-120.36807
1991-06-06,0.0,39.32565,-120.36807
1991-06-07,0.0,39.32565,-120.36807
1991-06-08,0.0,39.32565,-120.36807
1991-06-09,0.0,39.32565,-120.36807
1991-06-10,0.0,39.32565,-120.36807
1991-06-11,0.0,39.32565,-120.36807
1991-06-12,0.0,39.32565,-120.36807
1991-06-13,0.0,39.32565,-120.36807
1991-06-14,0.0,39.32565,-120.36807
1991-06-15,0.0,39.32565,-120.36807
1991-06-16,0.0,39.32565,-120.36807
1991-06-17,0.0,39.32565,-120.36807
1991-06-18,0.0,39.32565,-120.36807
1991-06-19,0.0,39.32565,-120.36807
1991-06-20,0.0,39.32565,-120.36807
1991-06-21,0.0,39.32565,-120.36807
1991-06-22,0.0,39.32565,-120.36807
1991-06-23,0.0,39.32565,-120.36807
1991-06-24,0.0,39.32565,-120.36807
1991-06-25,0.0,39.32565,-120.36807
1991-06-26,0.0,39.32565,-120.36807
1991-06-27,0.0,39.32565,-120.36807
1991-06-28,0.0,39.32565,-120.36807
1991-06-29,0.0,39.32565,-120.36807
1991-06-30,0.0,39.32565,-120.36807
1991-07-01,0.0,39.32565,-120.36807
1991-07-02,0.0,39.32565,-120.36807
1991-07-03,0.0,39.32565,-120.36807
1991-07-04,0.0,39.32565,-120.36807
